"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
405-2-000083,연동 국기로 제2 공영주차장,공영,노외,,제주특별자치도 제주시 연동 1499,28,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.47867251,126.490582,2021-08-18
405-2-000084,연동 무료 주차장,공영,노외,,제주특별자치도 제주시 연동 1504,18,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.47991747,126.4913888,2021-08-18
405-2-000085,연동 국기로 제1 공영주차장,공영,노외,,제주특별자치도 제주시 연동 1517,28,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.47837204,126.4903397,2021-08-18
405-2-000086,연동 연화로 공영주차장,공영,노외,,제주특별자치도 제주시 연동 1519-2,40,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.47781539,126.4897899,2021-08-18
405-2-000087,연동 무료 주차장,공영,노외,,제주특별자치도 제주시 연동 1957-1,4,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49158174,126.4823527,2021-08-18
405-2-000088,연동 도령북길,공영,노외,,제주특별자치도 제주시 연동 2305-7,26,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.49356068,126.4871496,2021-08-18
405-2-000089,연동 무료 주차장,공영,노외,,제주특별자치도 제주시 연동 2303-11,7,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49337545,126.4852697,2021-08-18
405-2-000090,일도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 일도이동 82-8,49,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.5000217,126.5456647,2021-08-18
405-2-000091,일도이동 무료 주차장,공영,노외,,제주특별자치도 제주시 일도이동 879,44,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.50481997,126.5343383,2021-08-18
405-2-000092,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 417-6,42,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49174014,126.4298943,2021-08-18
405-2-000093,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 440-7,50,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49059192,126.4282149,2021-08-18
405-2-000094,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 448-3,59,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49167477,126.4318538,2021-08-18
405-2-000095,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 453-1,43,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.49127778,126.4339699,2021-08-18
405-2-000096,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 482-1,44,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48992583,126.4325739,2021-08-18
405-2-000097,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 493-1,39,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48863871,126.4284654,2021-08-18
405-2-000098,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 496-17,31,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48767628,126.4293543,2021-08-18
405-2-000099,외도동 무료 주차장,공영,노외,,제주특별자치도 제주시 외도일동 497-16,11,1,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,0,0,0,0,,,,,,제주특별자치도 제주시,,33.48782513,126.4297174,2021-08-18
